  PID TTY      STAT   TIME COMMAND
 4178 ?        Sl     0:02 /snap/opera/11/usr/lib/x86_64-linux-gnu/opera/opera --type=renderer --field-trial-handle=8901006693136998096,12626706042101585114,131072 --disable-features=SharedArrayBuffer --service-pipe-token=1981790884971988097 --lang=ru --enable-proprietary-media-types-playback --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --ab_tests=booking.com appender enabled:Add bookingCom speeddial,DNA-70598-test:DNA-70598 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=1981790884971988097 --renderer-client-id=10 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 4197 ?        Sl     0:00 /usr/lib/speech-dispatcher-modules/sd_espeak /etc/speech-dispatcher/modules/espeak.conf
 4204 ?        Sl     0:00 /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
 4207 ?        Sl     0:00 /usr/lib/speech-dispatcher-modules/sd_cicero /etc/speech-dispatcher/modules/cicero.conf
 4208 ?        Z      0:00 [sd_cicero] <defunct>
 4211 ?        Sl     0:00 /usr/lib/speech-dispatcher-modules/sd_generic /etc/speech-dispatcher/modules/generic.conf
 4214 ?        Ssl    0:00 /usr/bin/speech-dispatcher --spawn --communication-method unix_socket --socket-path /run/user/1000/speech-dispatcher/speechd.sock
 4220 ?        Sl     0:00 /snap/opera/11/usr/lib/x86_64-linux-gnu/opera/opera --type=renderer --field-trial-handle=8901006693136998096,12626706042101585114,131072 --disable-features=SharedArrayBuffer --service-pipe-token=15956973444659786715 --lang=ru --enable-proprietary-media-types-playback --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --ab_tests=booking.com appender enabled:Add bookingCom speeddial,DNA-70598-test:DNA-70598 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=15956973444659786715 --renderer-client-id=7 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 4238 ?        Sl     0:01 /snap/opera/11/usr/lib/x86_64-linux-gnu/opera/opera --type=renderer --field-trial-handle=8901006693136998096,12626706042101585114,131072 --disable-features=SharedArrayBuffer --service-pipe-token=3188781853633695227 --lang=ru --enable-proprietary-media-types-playback --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --ab_tests=booking.com appender enabled:Add bookingCom speeddial,DNA-70598-test:DNA-70598 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=3188781853633695227 --renderer-client-id=6 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 4251 ?        Sl     0:00 /snap/opera/11/usr/lib/x86_64-linux-gnu/opera/opera --type=renderer --field-trial-handle=8901006693136998096,12626706042101585114,131072 --disable-features=SharedArrayBuffer --service-pipe-token=16675431234557800483 --lang=ru --enable-proprietary-media-types-playback --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --ab_tests=booking.com appender enabled:Add bookingCom speeddial,DNA-70598-test:DNA-70598 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=16675431234557800483 --renderer-client-id=21 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 4270 ?        Sl     0:00 /snap/opera/11/usr/lib/x86_64-linux-gnu/opera/opera --type=ppapi --field-trial-handle=8901006693136998096,12626706042101585114,131072 --disable-features=SharedArrayBuffer --ppapi-flash-args --lang=ru --enable-proprietary-media-types-playback --ab_tests=booking.com appender enabled:Add bookingCom speeddial,DNA-70598-test:DNA-70598 --service-request-channel-token=17592086681904326834
 4280 ?        Sl     0:02 /snap/opera/11/usr/lib/x86_64-linux-gnu/opera/opera --type=renderer --field-trial-handle=8901006693136998096,12626706042101585114,131072 --disable-features=SharedArrayBuffer --service-pipe-token=9095823788367523797 --lang=ru --enable-proprietary-media-types-playback --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --ab_tests=booking.com appender enabled:Add bookingCom speeddial,DNA-70598-test:DNA-70598 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=9095823788367523797 --renderer-client-id=9 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 4305 ?        Sl     0:00 /snap/opera/11/usr/lib/x86_64-linux-gnu/opera/opera --type=renderer --field-trial-handle=8901006693136998096,12626706042101585114,131072 --disable-features=SharedArrayBuffer --service-pipe-token=11214718349459991778 --lang=ru --enable-proprietary-media-types-playback --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --ab_tests=booking.com appender enabled:Add bookingCom speeddial,DNA-70598-test:DNA-70598 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=11214718349459991778 --renderer-client-id=12 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 4320 ?        Sl     0:00 /snap/opera/11/usr/lib/x86_64-linux-gnu/opera/opera --type=renderer --field-trial-handle=8901006693136998096,12626706042101585114,131072 --disable-features=SharedArrayBuffer --service-pipe-token=4479263533556471294 --lang=ru --enable-proprietary-media-types-playback --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --ab_tests=booking.com appender enabled:Add bookingCom speeddial,DNA-70598-test:DNA-70598 --num-raster-threads=4 --enable-main-frame-before-activation --service-request-channel-token=4479263533556471294 --renderer-client-id=13 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
 4337 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
 4528 ?        I      0:00 [kworker/3:2]
 4529 ?        I      0:00 [kworker/2:2]
 4544 ?        I      0:00 [kworker/u16:0]
 4599 ?        I      0:00 [kworker/u16:1]
 4607 ?        I      0:00 [kworker/4:0]
 4613 pts/17   R+     0:00 ps ax
